record_id,issuer_name,parent_name,address,city,country,exposure
700006,JP Morgan Chase,JPMorgan Chase & Co,383 Madison Ave,New York,USA,49000000
700064,Scotiabank,Bank of Nova Scotia,44 King St West,Toronto,Canada,67000000
700021,J.P.Morgan Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,19000000
700012,JPMorgan,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,17000000
700005,JP Morgan Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,61000000
700023,J.P.Morgan Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,78000000
700089,Morgan Stanley Intl,Morgan Stanley,1585 Broadway,New York,USA,47000000
700003,JPMorgan Chase & Co,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,32000000
700071,BNS,Bank of Nova Scotia,44 King St West,Toronto,Canada,24000000
700057,Invstec Bank,Investec Group,100 Grayston Drive,Sandton,South Africa,17000000
700070,Nova Scotia Bank,Bank of Nova Scotia,44 King St West,Toronto,Canada,81000000
700081,Morgan Stanley,Morgan Stanley,1585 Broadway,New York,USA,2000000
700079,Bank of Nova Scota,Bank of Nova Scotia,44 King Street West,Toronto,Canada,89000000
700114,Goldmn Sachs,Goldman Sachs Group,200 West Street,New York,USA,48000000
700029,Deutsche Bank,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,3000000
700066,The Bank of Nova Scotia,Bank of Nova Scotia,44 King Street West,Toronto,Canada,62000000
700073,BNS,Bank of Nova Scotia,44 King Street West,Toronto,Canada,71000000
700094,Morgan Stanly,Morgan Stanley,1585 Broadway,New York,USA,54000000
700014,JPM Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,28000000
700067,The Bank of Nova Scotia,Bank of Nova Scotia,44 King Street West,Toronto,Canada,61000000
700112,Goldman Sacks,Goldman Sachs Group,200 West Street,New York,USA,36000000
700026,Deutsche Bank AG,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,40000000
700019,JPMorgn Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,50000000
700010,JPMorgan,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,10000000
700022,J.P.Morgan Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,43000000
700075,Scotia Bank,Bank of Nova Scotia,44 King Street West,Toronto,Canada,85000000
700027,Deutsche Bank AG,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,41000000
700036,Deutsche Bank A.G.,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,60000000
700004,JP Morgan Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,21000000
700024,Deutsche Bank AG,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,87000000
700105,Goldman Sachs & Co,Goldman Sachs Group,200 West Street,New York,USA,18000000
700056,Investec Bank Limted,Investec Group,100 Grayston Drive,Sandton,South Africa,64000000
700083,Morgan Stanley,Morgan Stanley,1585 Broadway,New York,USA,36000000
700085,Morgan Stanley & Co,Morgan Stanley,1585 Broadway,New York,USA,46000000
700093,Morgan Stanly,Morgan Stanley,1585 Broadway,New York,USA,11000000
700051,Investec,Investec Group,100 Grayston Drive,Sandton,South Africa,69000000
700116,Goldmn Sachs,Goldman Sachs Group,200 West Street,New York,USA,13000000
700117,Goldmn Sachs,Goldman Sachs Group,200 West Street,New York,USA,66000000
700062,Bank of Nova Scotia,Bank of Nova Scotia,44 King Street West,Toronto,Canada,38000000
700086,Morgan Stanley & Co,Morgan Stanley,1585 Broadway,New York,USA,83000000
700050,Investec,Investec Group,100 Grayston Drive,Sandton,South Africa,11000000
700046,Investec Bank Limited,Investec Group,100 Grayston Drive,Sandton,South Africa,40000000
700110,Goldman,Goldman Sachs Group,200 West Street,New York,USA,31000000
700096,Morgn Stanley,Morgan Stanley,1585 Broadway,New York,USA,54000000
700035,Deutsche Bk,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,26000000
700034,Deutsche Bk,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,80000000
700058,Invstec Bank,Investec Group,100 Grayston Drive,Sandton,South Africa,73000000
700091,Morgan Stanley Intl,Morgan Stanley,1585 Broadway,New York,USA,22000000
700097,Morgn Stanley,Morgan Stanley,1585 Broadway,New York,USA,71000000
700008,J.P. Morgan,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,28000000
700065,The Bank of Nova Scotia,Bank of Nova Scotia,44 King St West,Toronto,Canada,89000000
700060,Bank of Nova Scotia,Bank of Nova Scotia,44 King Street West,Toronto,Canada,56000000
700015,J P Morgan Chase,JPMorgan Chase & Co,383 Madison Ave,New York,USA,38000000
700095,Morgan Stanly,Morgan Stanley,1585 Broadway,New York,USA,75000000
700106,Goldman Sachs & Co,Goldman Sachs Group,200 West Street,New York,USA,24000000
700042,Db Ag,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,79000000
700007,JP Morgan Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,74000000
700001,JPMorgan Chase & Co,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,84000000
700030,DB AG,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,52000000
700009,J.P. Morgan,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,24000000
700092,Morgan Stanley Intl,Morgan Stanley,1585 Broadway,New York,USA,47000000
700109,Goldman Sachs Group,Goldman Sachs Group,200 West Street,New York,USA,79000000
700031,DB AG,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,54000000
700039,DEUTCHE BANK,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,48000000
700040,DEUTCHE BANK,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,5000000
700002,JPMorgan Chase & Co,JPMorgan Chase & Co,383 Madison Ave,New York,USA,4000000
700111,Goldman,Goldman Sachs Group,200 West Street,New York,USA,48000000
700032,DB AG,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,75000000
700101,Morgan-Stanley,Morgan Stanley,1585 Broadway,New York,USA,24000000
700038,DEUTCHE BANK,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,60000000
700033,DB AG,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,58000000
700102,Goldman Sachs,Goldman Sachs Group,200 West Street,New York,USA,24000000
700049,Investec,Investec Group,100 Grayston Drive,Sandton,South Africa,21000000
700107,Goldman Sachs Group,Goldman Sachs Group,200 West Street,New York,USA,5000000
700098,Morgn Stanley,Morgan Stanley,1585 Broadway,New York,USA,82000000
700115,Goldmn Sachs,Goldman Sachs Group,200 West St,New York,USA,71000000
700063,Scotiabank,Bank of Nova Scotia,44 King Street West,Toronto,Canada,80000000
700028,Deutsche Bank,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,23000000
700055,Investec Bank Limted,Investec Group,100 Grayston Drive,Sandton,South Africa,82000000
700054,INVESTC BANK,Investec Group,100 Grayston Drive,Sandton,South Africa,54000000
700090,Morgan Stanley Intl,Morgan Stanley,1585 Broadway,New York,USA,67000000
700087,Morgan Stanley & Co,Morgan Stanley,1585 Broadway,New York,USA,53000000
700080,Bank of Nova Scota,Bank of Nova Scotia,44 King Street West,Toronto,Canada,44000000
700088,Morgan Stanley & Co,Morgan Stanley,1585 Broadway,New York,USA,23000000
700103,Goldman Sachs,Goldman Sachs Group,200 West Street,New York,USA,6000000
700069,Nova Scotia Bank,Bank of Nova Scotia,44 King Street West,Toronto,Canada,69000000
700078,Bank of Nova Scota,Bank of Nova Scotia,44 King Street West,Toronto,Canada,34000000
700099,Morgn Stanley,Morgan Stanley,1585 Broadway,New York,USA,4000000
700041,DEUTCHE BANK,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,12000000
700013,JPM Chase,JPMorgan Chase & Co,383 Madison Ave,New York,USA,1000000
700100,Morgan-Stanley,Morgan Stanley,1585 Broadway,New York,USA,57000000
700000,JPMorgan Chase & Co,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,46000000
700084,Morgan Stanley,Morgan Stanley,1585 Broadway,New York,USA,65000000
700044,Investec Bank Limited,Investec Group,100 Grayston Drive,Sandton,South Africa,90000000
700011,JPMorgan,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,80000000
700077,Scotia Bank,Bank of Nova Scotia,44 King Street West,Toronto,Canada,86000000
700017,JPMorgn Chase,JPMorgan Chase & Co,383 Madison Ave,New York,USA,81000000
700025,Deutsche Bank AG,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,9000000
700061,Bank of Nova Scotia,Bank of Nova Scotia,44 King Street West,Toronto,Canada,8000000
700108,Goldman Sachs Group,Goldman Sachs Group,200 West Street,New York,USA,45000000
700048,Investec Bank Ltd,Investec Group,100 Grayston Drive,Sandton,South Africa,89000000
700076,Scotia Bank,Bank of Nova Scotia,44 King Street West,Toronto,Canada,40000000
700020,JPMorgn Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,47000000
