Token / abbreviation,Canonical term,Expansion / definition,Domain,Source standard,Also seen as,Notes
id,identifier,A unique identifier.,general,convention,"ident,idnt",
cd,code,A short classifying code.,general,convention,code,
nm,name,A name.,general,convention,name,
desc,description,A free-text description.,general,convention,dsc,
dt,date,A calendar date.,general,ISO 8601,date,
ts,timestamp,A point in time.,general,ISO 8601,"tmstmp,time",
amt,amount,A monetary amount.,general,convention,amnt,
ccy,currency,ISO currency code.,general,ISO 4217,"cur,curr",
qty,quantity,A count/quantity.,general,convention,quantity,
val,value,A value.,general,convention,value,
pct,percent,A percentage / ratio expressed in %.,general,convention,"perc,percentage",
num,number,A number.,general,convention,"no,nbr",
ref,reference,A reference to another object.,general,convention,rfrnc,
ind,indicator,A boolean indicator/flag.,general,convention,"flag,flg",
asof,as-of date,The snapshot / effective date of the row.,general,convention,"as_of,asofdt",
bd,business date,The business (processing) date.,general,convention,"busdate,bus_dt",
cpty,counterparty,The legal entity facing TD in a trade.,counterparty,ISDA,"cp,ctpy,cpy",Core CCR entity.
le,legal entity,A legal entity.,counterparty,convention,legalentity,
lei,Legal Entity Identifier,ISO 17442 global legal-entity identifier.,counterparty,ISO 17442,lei_code,
bic,Bank Identifier Code,SWIFT business identifier code.,counterparty,ISO 9362,swift,
guar,guarantor,Party guaranteeing an exposure.,counterparty,convention,"grntr,guarantor",
obligor,obligor,Party obliged to pay.,counterparty,Basel,oblgr,
issuer,issuer,Issuer of a security / instrument.,counterparty,convention,iss,
parent,ultimate parent,Ultimate parent legal entity.,counterparty,convention,"ult_parent,uparent",
agrmt,agreement,A legal agreement.,collateral,ISDA,"agr,agrmnt,agreement",
isda,ISDA Master Agreement,Master netting agreement governing OTC derivatives.,collateral,ISDA,isda_ma,
csa,Credit Support Annex,Collateral agreement annexed to an ISDA.,collateral,ISDA,csa,
coll,collateral,Assets posted to mitigate exposure.,collateral,ISDA,"collat,coll_val",
net,netting set,Set of trades that net under one agreement.,collateral,ISDA,"netting,netset",
mta,Minimum Transfer Amount,Smallest collateral movement allowed.,collateral,ISDA,min_transfer,
thr,threshold,Unsecured exposure allowed before collateral is posted.,collateral,ISDA,"threshold,thresh",
ia,Independent Amount,Collateral over and above mark-to-market.,collateral,ISDA,indep_amt,
vm,Variation Margin,Margin covering current mark-to-market moves.,collateral,ISDA,var_margin,
im,Initial Margin,Margin covering potential future moves.,collateral,ISDA,init_margin,
exp,exposure,Amount at risk to a counterparty.,risk-metric,Basel,"expsr,exposure",
pfe,Potential Future Exposure,High-percentile simulated future exposure.,risk-metric,Basel,pfe,
epe,Expected Positive Exposure,Time-averaged expected exposure.,risk-metric,Basel,epe,
ead,Exposure At Default,Exposure expected at time of default.,risk-metric,Basel,ead,
ccr,Counterparty Credit Risk,Risk a counterparty defaults while owing.,risk-metric,Basel,ccr,
cva,Credit Valuation Adjustment,Price of counterparty credit risk.,risk-metric,industry,cva,
dva,Debit Valuation Adjustment,Own-credit valuation adjustment.,risk-metric,industry,dva,
fva,Funding Valuation Adjustment,Funding cost valuation adjustment.,risk-metric,industry,fva,
xva,valuation adjustments,Family of derivative valuation adjustments (CVA/DVA/FVA…).,risk-metric,industry,xva,
mtm,mark-to-market,Current market value of a position.,risk-metric,convention,"mv,marktomarket",
npv,Net Present Value,Discounted value of future cash flows.,risk-metric,convention,npv,
rwa,Risk-Weighted Assets,Regulatory risk-weighted asset amount.,risk-metric,Basel,rwa,
saccr,Standardised Approach for CCR,Basel SA-CCR exposure method.,risk-metric,Basel,"sa_ccr,sa-ccr",
cem,Current Exposure Method,Legacy CCR exposure method.,risk-metric,Basel,cem,
pd,Probability of Default,Likelihood of default over a horizon.,risk-metric,Basel,pd,
lgd,Loss Given Default,Loss fraction if default occurs.,risk-metric,Basel,lgd,
var,Value at Risk,Loss quantile over a horizon.,risk-metric,industry,v_a_r,
trd,trade,A trade / transaction.,market,FpML,"txn,trade,trd",
notional,notional,Reference amount of a derivative.,market,FpML,"notnl,nom,notional",
mat,maturity,Maturity date of a trade.,market,convention,maturity,
tenor,tenor,Time to maturity bucket.,market,convention,"tnr,tenor",
px,price,A price.,market,FIX,"price,prc",
rt,rate,A rate.,market,convention,rate,
ir,interest rate,An interest rate.,market,convention,int_rate,
fx,foreign exchange,Foreign-exchange / currency conversion.,market,convention,fx,
bps,basis points,One hundredth of a percent.,market,convention,"bp,bps",
spd,spread,A credit / rate spread.,market,convention,"sprd,spread",
rtg,rating,A credit rating.,rating,convention,"rt,rating",
sov,sovereign,Sovereign issuer/entity.,rating,convention,sovereign,
corp,corporate,Corporate issuer/entity.,rating,convention,corporate,
nr,not rated,No credit rating assigned.,rating,convention,not_rated,
sp,S&P,Standard & Poor's rating agency.,rating,convention,"s_and_p,sandp",
mdy,Moody's,Moody's rating agency.,rating,convention,moodys,
mo,month,Calendar month (tenor unit).,date,convention,"mth,month",
yr,year,Calendar year (tenor unit).,date,convention,"year,yrs",
