record_id,issuer_name,parent_name,address,city,country,exposure,true_issuer
800068,Investech,,100 Grayston Drive,Sandton,South Africa,13000000,Investec
800088,Bank of Nova Scota,Bank of Nova Scotia,44 King Street West,Toronto,,88000000,Bank of Nova Scotia
800081,Nova Scotia Bank,Bank of Nova Scotia,,,Canada,16000000,Bank of Nova Scotia
800096,Bank of America NA,Bank of America Corp,100 N Tryon St,Charlotte,USA,30000000,Bank of America
800024,Jp Morgan Chse,JPMorgan Chase & Co,383 Madison Ave,New York,USA,76000000,JPMorgan Chase
800022,JPMorgn Chase,JPMorgan Chase & Co,383 Madison Ave,,USA,47000000,JPMorgan Chase
800128,Scot,,,,,5000000,AMBIGUOUS
800066,Invstec Bank,Investec Group,100 Grayston Drive,,South Africa,37000000,Investec
800045,Duetsche Bank,,Taunusanlage 12,Frankfurt am Main,Germany,69000000,Deutsche Bank
800087,Bank of Nova Scota,,,,Canada,62000000,Bank of Nova Scotia
800073,Bank of Nova Scotia,Bank of Nova Scotia,44 King Street West,Toronto,,81000000,Bank of Nova Scotia
800111,Bank of China,,1 Fuxingmen Nei,Beijing,China,66000000,Bank of China
800054,Investec Bank Ltd,Investec Group,100 Grayston Drive,Sandton,South Africa,10000000,Investec
800122,Bank of China Limited,,1 Fuxingmen Nei,Beijing,China,10000000,Bank of China
800044,Duetsche Bank,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,6000000,Deutsche Bank
800061,Investec Bank Limted,,100 Grayston Drive,Sandton,South Africa,85000000,Investec
800124,Bank of China Limited,,1 Fuxingmen Nei,Beijing,China,20000000,Bank of China
800009,J.P. Morgan,,,New York,USA,84000000,JPMorgan Chase
800085,BNS,Bank of Nova Scotia,,Toronto,Canada,41000000,Bank of Nova Scotia
800080,Nova Scotia Bank,Bank of Nova Scotia,44 King Street West,Toronto,Canada,64000000,Bank of Nova Scotia
800006,JP Morgan Chase,,,New York,USA,50000000,JPMorgan Chase
800074,Scotiabank,Bank of Nova Scotia,44 King Street West,Toronto,Canada,11000000,Bank of Nova Scotia
800013,JPMorgan,,383 Madison Avenue,New York,USA,15000000,JPMorgan Chase
800019,J.P.Morgan Chase,,383 Madison Ave,,USA,20000000,JPMorgan Chase
800007,JP Morgan Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,59000000,JPMorgan Chase
800032,DB AG,Deutsche Bank AG,Taunusanlage 12,Frankfurt,Germany,1000000,Deutsche Bank
800077,Scotiabank,Bank of Nova Scotia,44 King Street West,Toronto,Canada,29000000,Bank of Nova Scotia
800012,JPMorgan,,,New York,USA,84000000,JPMorgan Chase
800093,Bank of America,Bank of America Corp,,Charlotte,USA,16000000,Bank of America
800127,JPM,,,,,5000000,AMBIGUOUS
800011,J.P. Morgan,,,New York,,54000000,JPMorgan Chase
800033,DB AG,,Taunusanlage 12,Frankfurt am Main,Germany,51000000,Deutsche Bank
800021,JPMorgn Chase,JPMorgan Chase & Co,383 Madison Avenue,New York,USA,82000000,JPMorgan Chase
800083,BNS,Bank of Nova Scotia,44 King Street West,Toronto,Canada,88000000,Bank of Nova Scotia
800005,JP Morgan Chase,JPMorgan Chase & Co,,New York,USA,82000000,JPMorgan Chase
800055,Investec,,100 Grayston Drive,Sandton,South Africa,9000000,Investec
800039,Deutsche Bank A.G.,,Taunusanlage 12,Frankfurt,Germany,74000000,Deutsche Bank
800071,Bank of Nova Scotia,Bank of Nova Scotia,44 King St West,Toronto,Canada,44000000,Bank of Nova Scotia
800030,DB AG,,Taunusanlage 12,Frankfurt,Germany,32000000,Deutsche Bank
800125,Investech Bnk,,,,,5000000,AMBIGUOUS
800118,BOC,Bank of China Ltd,1 Fuxingmen Nei,Beijing,China,84000000,Bank of China
800100,BofA,,100 North Tryon St,Charlotte,USA,84000000,Bank of America
800063,Investec Bank Limted,Investec Group,,Sandton,South Africa,67000000,Investec
